usage_date,service,model,project_id,requests,input_tokens,output_tokens,thinking_tokens,cost,errors
2026-05-17,Generative Language API,gemini-2.5-pro,vision-api,3936,12688466,2596354,1557812,41.82,0
2026-05-18,Generative Language API,gemini-2.5-pro,vision-api,5415,19333049,3666893,2200136,60.84,0
2026-05-19,Generative Language API,gemini-2.5-pro,vision-api,4608,16428088,3410579,2046347,54.64,0
2026-05-20,Generative Language API,gemini-2.5-pro,vision-api,6367,20289912,4779672,2867803,73.16,0
2026-05-21,Generative Language API,gemini-2.5-pro,vision-api,5030,18302022,3510249,2106149,57.98,0
2026-05-22,Generative Language API,gemini-2.5-pro,vision-api,3619,11527814,2419710,1451826,38.61,0
2026-05-23,Generative Language API,gemini-2.5-pro,vision-api,3067,10019487,2280146,1368088,35.33,0
2026-05-24,Generative Language API,gemini-2.5-pro,vision-api,5882,18613232,4324286,2594572,66.51,0
2026-05-25,Generative Language API,gemini-2.5-pro,vision-api,5161,17680677,3826027,2295616,60.36,0
2026-05-26,Generative Language API,gemini-2.5-pro,vision-api,5346,19003924,3500582,2100349,58.76,0
2026-05-27,Generative Language API,gemini-2.5-pro,vision-api,4478,16334320,3340168,2004101,53.82,0
2026-05-28,Generative Language API,gemini-2.5-pro,vision-api,4416,15860051,3268692,1961215,52.51,0
2026-05-29,Generative Language API,gemini-2.5-pro,vision-api,2373,7845032,1699565,1019739,26.80,0
2026-05-30,Generative Language API,gemini-2.5-pro,vision-api,2290,8166034,1624348,974609,26.45,0
2026-05-31,Generative Language API,gemini-2.5-pro,vision-api,3743,12720145,2423680,1454208,40.14,0
2026-06-01,Generative Language API,gemini-2.5-pro,vision-api,3401,11807295,2201688,1321013,36.78,0
2026-06-02,Generative Language API,gemini-2.5-pro,vision-api,3137,11347203,2176301,1305781,35.95,0
2026-06-03,Generative Language API,gemini-2.5-pro,vision-api,4177,15069122,2778258,1666955,46.62,0
2026-06-04,Generative Language API,gemini-2.5-pro,vision-api,3662,11864421,2549098,1529459,40.32,0
2026-06-05,Generative Language API,gemini-2.5-pro,vision-api,2868,10027400,1895208,1137125,31.49,0
2026-06-06,Generative Language API,gemini-2.5-pro,vision-api,3095,10175536,2066734,1240040,33.39,0
2026-06-07,Generative Language API,gemini-2.5-pro,vision-api,15784,53574619,10206950,6124170,169.04,0
2026-06-08,Generative Language API,gemini-2.5-pro,vision-api,6122,21487970,4074106,2444464,67.60,0
2026-06-09,Generative Language API,gemini-2.5-pro,vision-api,6269,20436766,4554468,2732681,71.09,0
2026-06-10,Generative Language API,gemini-2.5-pro,vision-api,5295,17740394,3648907,2189344,58.66,0
2026-06-11,Generative Language API,gemini-2.5-pro,vision-api,5947,19516514,4221814,2533088,66.61,0
2026-06-12,Generative Language API,gemini-2.5-pro,vision-api,3276,12025777,2290226,1374136,37.93,0
2026-06-13,Generative Language API,gemini-2.5-pro,vision-api,2789,9007759,2046843,1228106,31.73,0
2026-06-14,Generative Language API,gemini-2.5-pro,vision-api,4046,14846286,3002344,1801406,48.58,0
2026-06-15,Generative Language API,gemini-2.5-pro,vision-api,4402,14022144,3173405,1904043,49.26,0
2026-05-17,Generative Language API,gemini-2.5-flash,summaries,6185,54346253,9621132,5772679,40.36,0
2026-05-18,Generative Language API,gemini-2.5-flash,summaries,8509,69571007,11847893,7108736,50.49,0
2026-05-19,Generative Language API,gemini-2.5-flash,summaries,7240,59903836,11588889,6953333,46.94,0
2026-05-20,Generative Language API,gemini-2.5-flash,summaries,10005,88042436,14534448,8720669,62.75,0
2026-05-21,Generative Language API,gemini-2.5-flash,summaries,7905,68087395,11345300,6807180,48.79,0
